Sample,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26
Compound3935,5.564577047,5.659291744,5.59310122,5.438831622,5.456002824,5.511115467,5.653524173,5.547891034,5.652265424,5.546062103,5.681129686,5.618527622,5.616445814,5.741077782,5.538609669,5.500277166,5.545744321,5.480533386,5.786127262,5.565650453,5.488446429,5.646745265,5.663708241,5.533560081,5.535648777,5.469322717
Compound7233,7.025193845,6.908313016,6.995898015,6.816851405,6.890245531,7.072380992,6.971133262,6.913719673,7.137391297,6.646241989,6.846837766,6.975923206,6.82514648,6.947113332,6.895092097,6.874486772,6.854844937,6.892164945,7.125817011,6.8827566,6.954028044,6.803603448,7.077780686,6.728715134,6.853494441,6.790617584
Compound4520,5.510397744,5.513894727,5.724725286,5.449224492,5.570168583,5.707547114,5.489412783,5.565915034,5.829640938,5.563608274,5.307851075,5.551035469,5.65801944,5.525889903,5.498069348,5.405357981,5.689970352,5.512702779,5.558781681,5.5405417,5.553651414,5.57794298,5.626762884,5.370076372,5.758553056,5.468253618
Compound5781,6.771029815,6.958765098,6.839445572,6.769558898,6.962312341,6.953194811,7.003345476,6.847287083,6.995833674,7.07726593,6.824122172,6.881039015,6.989515579,6.619064718,6.869225109,6.907772881,6.862364516,6.772788602,6.941449922,6.904568422,6.83508864,6.714603751,6.887996416,6.798624337,6.854703585,6.825979762
Compound7748,5.454079289,5.481866635,5.52903831,5.660716823,5.491519441,5.801889521,5.572482875,5.540587167,5.856945466,5.587576218,5.705785456,5.609380704,5.313137172,5.677372613,5.51940757,5.700119913,5.6589866,5.385225833,5.758919316,5.37484151,5.668703133,5.555842663,5.588017652,5.650002288,5.725965917,5.56657158
Compound7843,6.933361923,6.788151755,6.752176485,6.924633497,7.026618959,6.764350861,6.857375463,6.96133994,6.876566405,6.818704913,6.824264987,6.790483319,6.804314378,6.828825829,6.767282431,6.823991493,6.952876808,6.867847765,6.946053688,6.908986492,7.047767202,6.953820839,6.579134519,6.791566735,6.748005505,7.032166564
Compound2149,7.054833828,7.048732718,7.294255093,7.123051131,7.291978735,7.011317178,6.808952198,7.052488704,7.196395837,7.366968779,7.720439376,7.498386643,7.274308222,7.42258514,6.838363165,6.989396385,7.640950183,7.044968028,7.039003971,7.186671921,6.660259265,7.2690706,7.033203201,7.046827755,6.754456492,7.593429361
Compound9756,6.408712658,6.394034687,6.518666982,6.429475997,6.579954397,6.406151721,6.477512636,6.323685396,6.512763226,6.32897497,6.512761263,6.401226617,6.575147923,6.419410828,6.573349262,6.484214303,6.269828043,6.202110311,6.428894522,6.400012962,6.49897718,6.348939528,6.369797479,6.458453064,6.475625588,6.479811786
Compound3128,7.47167117,7.406596452,7.623884406,7.499221593,7.6478049,7.540782647,7.357553151,7.367601337,7.489630183,6.704481962,7.420918263,7.284076099,7.381106872,7.567266671,7.516064786,7.767875608,7.264033412,7.466547956,7.349372804,7.541068238,7.59128372,7.515450421,7.562601812,7.094013342,7.50394752,7.417277476
Compound3964,7.14073592,6.781813648,7.044799368,7.088487386,7.023700724,6.829911832,7.143727834,7.091798582,7.044986833,6.994277704,7.166581735,7.030245537,7.096311483,7.102319432,7.172500166,7.006032584,6.913735577,7.000192731,6.962266874,6.604233804,7.046886692,6.976214053,7.349896993,7.026594067,6.977160968,7.129361024
